### Number density nb [fm-3] 	 Chemical potential mu [MeV] 	 Pressure p [MeV/fm3] 	 Energy density e [MeV]
n	mu	p	e
1e-12	937.9126285233897	3.2760262999999996e-12	9.346366022233899e-10
1.0964782e-12	937.9218388946028	3.28567411836528e-12	1.0251251755334788e-09
1.2022644e-12	937.9310492658157	3.2962526336318406e-12	1.1243448575533048e-09
1.3182567e-12	937.940259543072	3.3078518390324104e-12	1.2331381795033613e-09
1.4454398e-12	937.9494699142851	3.32057040384132e-12	1.352428923799169e-09
1.5848932e-12	937.958680285498	3.33451560301772e-12	1.4832298186624424e-09
1.7378008e-12	937.9678905627546	3.3498063708099196e-12	1.6266515442234576e-09
1.9054607e-12	937.9771009339676	3.3665723473196097e-12	1.7839119309822888e-09
2.0892961e-12	937.9863113051804	3.384955944186981e-12	1.956346186119113e-09
2.2908677e-12	937.995521582437	3.405113218958661e-12	2.1454185299188996e-09
2.5118864e-12	938.00473195365	3.4272147898963207e-12	2.3527341145401226e-09
2.7542287e-12	938.013942324863	3.4514493013758504e-12	2.580053471649907e-09
3.0199517e-12	938.0231526021192	3.4780215977980406e-12	2.8293065927423315e-09
3.3113112e-12	938.0323629733324	3.50715737639952e-12	3.1026099120996608e-09
3.6307805e-12	938.0415733445452	3.5391043089935396e-12	3.4022839483797016e-09
3.9810717e-12	938.0507836218017	3.5741334778907586e-12	3.7308732943616886e-09
4.3651583e-12	938.0599939930148	3.6125421508004805e-12	4.091167826525758e-09
4.7863009e-12	938.0692043642276	3.654656393694355e-12	4.4862268207170916e-09
5.2480746e-12	938.0784146414842	3.700833782698764e-12	4.919404666905542e-09
5.7543994e-12	938.0876250126971	3.7514662913699276e-12	5.39437940022912e-09
6.3095734e-12	938.0968353839102	3.806983641457751e-12	5.915183855521041e-09
6.9183097e-12	938.1060456611666	3.8678573163161555e-12	6.486240298009975e-09
7.5857758e-12	938.1152560323795	3.9346039221981976e-12	7.112397402899029e-09
8.3176377e-12	938.1244664035926	4.0077900958165945e-12	7.798971638955088e-09
9.1201084e-12	938.1336767748056	4.088037244089708e-12	8.5517927886327e-09
1e-11	938.142887052062	4.1760264e-12	9.377252844120619e-09
1.0964782e-11	938.152097423275	4.2725046080131e-12	1.0282360726480958e-08
1.2022644e-11	938.161307794488	4.37829071385828e-12	1.1274801127473695e-08
1.3182567e-11	938.1705180717445	4.4942830008580806e-12	1.2363001428904624e-08
1.4454398e-11	938.1797284429574	4.6214663683853e-12	1.3556201724078039e-08
1.5848932e-11	938.1889388141705	4.76091979999636e-12	1.486453177461795e-08
1.7378008e-11	938.1981490914269	4.9138272645900006e-12	1.629910111323142e-08
1.9054607e-11	938.2073594626398	5.08148735841175e-12	1.7872091031709918e-08
2.0892961e-11	938.2165698338529	5.26532264311659e-12	1.9596856880449344e-08
2.2908677e-11	938.2257801111092	5.466894607132201e-12	2.1488044455031292e-08
2.5118864e-11	938.2349904823221	5.68791330346224e-12	2.3561709212663278e-08
2.7542287e-11	938.2442008535352	5.93025568222159e-12	2.5835460800311487e-08
3.0199517e-11	938.253411224748	6.195978731788381e-12	2.8328603863857984e-08
3.3113112e-11	938.2626215020045	6.48733844979288e-12	3.1062307932759695e-08
3.6307805e-11	938.2718318732176	6.806807920843301e-12	3.405978390072473e-08
3.9810717e-11	938.2810422444304	7.1570994410765706e-12	3.7346483939816997e-08
4.3651583e-11	938.2902526156436	7.541186366863801e-12	4.095031365377587e-08
4.7863009e-11	938.2994628929	7.96232887889967e-12	4.490187330825914e-08
5.2480746e-11	938.3086732641128	8.42410333681308e-12	4.9234715047834084e-08
5.7543994e-11	938.317883635326	8.93042851348164e-12	5.398562823749042e-08
6.3095734e-11	938.3270940065388	9.485603171723121e-12	5.919495112525785e-08
6.9183097e-11	938.3363042837952	1.00943396438372e-11	6.49069172182435e-08
7.5857758e-11	938.3455146550084	1.0761806617805922e-11	7.117002516446727e-08
