### name of eos: /2D/NM/Hempel_SchaffnerBielich/hs_dd2_compose/with_electrons 
### link: https://compose.obspm.fr/eos/2 
### Number density nb [fm-3] 	 Chemical potential mu [MeV] 	 Pressure p [MeV/fm3] 	 Energy density e [MeV] 
n	mu	p	e
1e-12	0.9379126285233897	3.2760262999999996e-15	9.346366022233898e-13
1.0964782e-12	0.9379218388946028	3.2856741183652795e-15	1.025125175533479e-12
1.2022644e-12	0.9379310492658157	3.29625263363184e-15	1.1243448575533047e-12
1.3182567e-12	0.9379402595430721	3.30785183903241e-15	1.2331381795033614e-12
1.4454398e-12	0.9379494699142852	3.3205704038413197e-15	1.352428923799169e-12
1.5848932e-12	0.9379586802854981	3.33451560301772e-15	1.4832298186624423e-12
1.7378008e-12	0.9379678905627546	3.3498063708099197e-15	1.6266515442234575e-12
1.9054607e-12	0.9379771009339676	3.3665723473196098e-15	1.7839119309822889e-12
2.0892961e-12	0.9379863113051805	3.3849559441869803e-15	1.956346186119113e-12
2.2908677e-12	0.937995521582437	3.4051132189586606e-15	2.1454185299188997e-12
2.5118864e-12	0.93800473195365	3.4272147898963203e-15	2.3527341145401224e-12
2.7542287e-12	0.938013942324863	3.45144930137585e-15	2.580053471649907e-12
3.0199517e-12	0.9380231526021193	3.47802159779804e-15	2.8293065927423317e-12
3.3113112e-12	0.9380323629733323	3.50715737639952e-15	3.102609912099661e-12
3.6307805e-12	0.9380415733445453	3.5391043089935396e-15	3.4022839483797016e-12
3.9810717e-12	0.9380507836218017	3.5741334778907584e-15	3.730873294361689e-12
4.3651583e-12	0.9380599939930148	3.61254215080048e-15	4.091167826525758e-12
4.7863009e-12	0.9380692043642277	3.654656393694355e-15	4.486226820717092e-12
5.2480746e-12	0.9380784146414842	3.700833782698763e-15	4.919404666905542e-12
5.7543994e-12	0.9380876250126973	3.751466291369927e-15	5.39437940022912e-12
6.3095734e-12	0.9380968353839102	3.80698364145775e-15	5.9151838555210405e-12
6.9183097e-12	0.9381060456611666	3.8678573163161554e-15	6.486240298009976e-12
7.5857758e-12	0.9381152560323796	3.934603922198198e-15	7.11239740289903e-12
8.3176377e-12	0.9381244664035926	4.0077900958165945e-15	7.798971638955088e-12
9.1201084e-12	0.9381336767748056	4.088037244089708e-15	8.5517927886327e-12
1e-11	0.938142887052062	4.1760264e-15	9.37725284412062e-12
1.0964782e-11	0.938152097423275	4.2725046080131e-15	1.0282360726480958e-11
1.2022644e-11	0.9381613077944879	4.37829071385828e-15	1.1274801127473695e-11
1.3182567e-11	0.9381705180717443	4.49428300085808e-15	1.2363001428904623e-11
1.4454398e-11	0.9381797284429574	4.6214663683853e-15	1.3556201724078041e-11
1.5848932e-11	0.9381889388141703	4.76091979999636e-15	1.486453177461795e-11
1.7378008e-11	0.9381981490914268	4.913827264590001e-15	1.629910111323142e-11
1.9054607e-11	0.9382073594626398	5.08148735841175e-15	1.787209103170992e-11
2.0892961e-11	0.9382165698338527	5.26532264311659e-15	1.9596856880449344e-11
2.2908677e-11	0.9382257802050658	5.4668946071322e-15	2.148804445718371e-11
2.5118864e-11	0.9382349904823222	5.6879133034622395e-15	2.356170921266328e-11
2.7542287e-11	0.9382442008535352	5.93025568222159e-15	2.5835460800311487e-11
3.0199517e-11	0.9382534112247481	6.1959787317883804e-15	2.8328603863857984e-11
3.3113112e-11	0.9382626215020046	6.48733844979288e-15	3.10623079327597e-11
3.6307805e-11	0.9382718318732176	6.8068079208433004e-15	3.4059783900724724e-11
3.9810717e-11	0.9382810422444305	7.15709944107657e-15	3.7346483939817e-11
4.3651583e-11	0.9382902526156436	7.541186366863801e-15	4.095031365377587e-11
4.7863009e-11	0.9382994628929	7.96232935752976e-15	4.490187330778051e-11
5.2480746e-11	0.9383086732641129	8.42410333681308e-15	4.923471504783409e-11
5.7543994e-11	0.938317883635326	8.93042851348164e-15	5.398562823749042e-11
6.3095734e-11	0.9383270940065389	9.485603171723119e-15	5.919495112525785e-11
6.9183097e-11	0.9383363042837953	1.009434033566817e-14	6.490691721755166e-11
7.5857758e-11	0.9383455146550084	1.07618073763835e-14	7.117002516370869e-11
8.3176377e-11	0.9383547250262213	1.149367026404487e-14	7.803745269824827e-11
9.1201084e-11	0.9383639353974343	1.229614237377968e-14	8.556751195237821e-11
1e-10	0.9383731457686473	1.3176035000000001e-14	9.382413854186474e-11
1.0964782e-10	0.9383823561398602	1.4140818824556e-14	1.0287743885837474e-10
1.2022644e-10	0.9383915664171166	1.51986826971816e-14	1.128042786736563e-10
1.3182567e-10	0.9384007767883296	1.6358608592635798e-14	1.2368895252004936e-10
1.4454398e-10	0.9384099871595426	1.76304426363828e-14	1.3562388397315278e-10
1.5848932e-10	0.9384191975307556	1.90249803130332e-14	1.4871039551128212e-10
1.7378008e-10	0.9384284079019686	2.0554061400502396e-14	1.630596097380762e-10
1.9054607e-10	0.9384376182731816	2.22306650985133e-14	1.7879336943701643e-10
2.0892961e-10	0.9384468286443945	2.4069025359376e-14	1.9604526088905082e-10
2.2908677e-10	0.9384560390156075	2.6084749724486202e-14	2.1496177801535498e-10
2.5118864e-10	0.9384652493868205	2.82949459137744e-14	2.357035147348225e-10
2.7542287e-10	0.9384744597580335	3.0718380909978994e-14	2.584466107473471e-10
3.0199517e-10	0.938483670223203	3.3375624362503596e-14	2.8338415990691766e-10
3.3113112e-10	0.938492880594416	3.628923560894881e-14	3.107279094276463e-10
3.6307805e-10	0.938502090965629	3.94839500581315e-14	3.407100251586651e-10
3.9810717e-10	0.938511301336842	4.2986883680478896e-14	3.735850913045469e-10
4.3651583e-10	0.9385205118020115	4.68277769428792e-14	4.0963223240433695e-10
4.7863009e-10	0.9385297221732244	5.10392365676472e-14	4.4915752615487774e-10
5.2480746e-10	0.938538932638394	5.56570171978596e-14	4.924965763318689e-10
